"URL key of CMS page (without store base URL). Visitor see this page when he need to confirm that he is a human.","URL Schlüssel von CMS-Seite (ohne Speicher Basis-URL). Besucher sehen diese Seite, als er braucht, um zu bestätigen, dass er ein Mensch ist."
"User Agent","User-Agent"
"Whitelist","Weiße Liste"
"Read more at <a id=""ask-about-1"">useragentstring.com</a> or <a id=""ask-about-2"">google.com</a> about this crawler.", "Lesen Sie mehr unter <a id=""ask-about-1"">useragentstring.com</a> oder <a id=""ask-about-2"">google.com</a> zu diesem Crawler."
"1. User agent check<br/>2. Place honeypots (optional)<br/>3. Visitor activity log (optional)", "1. User agent check<br/>2. Place honeypots (optional)<br/>3. Visitor activity log (optional)"
"Add honeypots in forms","Add honeypots in forms"
"Option adds non-required input field to every form. That field is not visible for humans.","Option adds non-required input field to every form. That field is not visible for humans."
"Number of seconds. It determines time frame for analyzing visitor activity.<br/>Value <b>0 disables</b> visitor activity check.","Number of seconds. It determines time frame for analyzing visitor activity.<br/>Value <b>0 disables</b> visitor activity check."
"Protect forms","Protect forms"
"Visitor can not submit form (search, add to cart, post review etc.) if JavaScript is disabled. A lot of bots do not execute JS, so they won’t be able to submit form.","Visitor can not submit form (search, add to cart, post review etc.) if JavaScript is disabled. A lot of bots do not execute JS, so they won’t be able to submit form."
